Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
10664113,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,"Martin, George R.R.",,"=""""","=""""",0,4.34,Bantam,Kindle Edition,1125,2011,2011,,2025/01/26,,,read,,,,1,0
75593520,"The Wild Robot Protects (The Wild Robot, #3)",Peter  Brown,"Brown, Peter",,"=""""","=""""",0,4.18,"Little, Brown Books for Young Readers",Hardcover,288,2023,2023,,2025/01/26,,,read,,,,1,0
207567968,"Play Nice: The Rise, Fall, and Future of Blizzard Entertainment",Jason Schreier,"Schreier, Jason",,"=""1538725428""","=""9781538725429""",0,4.22,Grand Central Publishing,Hardcover,384,2024,2024,,2025/01/26,,,read,,,,1,0
13589182,Mastery,Robert Greene,"Greene, Robert",,"=""0670024961""","=""9780670024964""",0,4.26,Viking,Hardcover,318,2012,2012,,2025/01/26,,,read,,,,1,0
13497,"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,"Martin, George R.R.",,"=""055358202X""","=""9780553582024""",0,4.17,Bantam Books,Mass Market Paperback,1060,2011,2005,,2025/01/26,,,read,,,,1,0
33776087,"Everyday Mindfulness for OCD: Tips, Tricks, and Skills for Living Joyfully",C. Alec Pollard,"Pollard, C. Alec","Jon Hershfield, Shala Nicely","=""1626258929""","=""9781626258921""",0,4.44,New Harbinger Publications,Paperback,200,2017,,,2025/01/26,,,read,,,,1,0
43808723,Everything Is F*cked: A Book About Hope,Mark Manson,"Manson, Mark",,"=""0062955934""","=""9780062955937""",0,3.68,Harper,Hardcover,288,2019,2019,,2025/01/26,,,read,,,,1,0
54670272,Rewire Your OCD Brain: Powerful Neuroscience-Based Skills to Break Free from Obsessive Thoughts and Fears,Catherine M. Pittman,"Pittman, Catherine M.",William H. Youngs,"=""1684037182""","=""9781684037186""",0,4.18,New Harbinger Publications,Paperback,216,2021,2021,,2025/01/26,,,read,,,,1,0
34728667,"Children of Blood and Bone (Legacy of Orïsha, #1)",Tomi Adeyemi,"Adeyemi, Tomi",,"=""1250170974""","=""9781250170972""",0,4.11,Henry Holt Company,Hardcover,544,2018,2018,,2025/01/26,,,read,,,,1,0
101160634,Making It So,Patrick   Stewart,"Stewart, Patrick",,"=""1982167734""","=""9781982167738""",0,4.31,Gallery Books,Hardcover,469,2023,2023,,2025/01/26,,,read,,,,1,0
12228097,The Chimp Paradox: How Our Impulses and Emotions Can Determine Success and Happiness and How We Can Control Them,Steve   Peters,"Peters, Steve",,"=""009193558X""","=""9780091935580""",0,3.99,Vermilion,Paperback,346,2012,2012,,2025/01/26,,,read,,,,1,0
34625105,The Brave Athlete: Calm the F*ck Down and Rise to the Occasion,Simon Marshall,"Marshall, Simon",Lesley Paterson,"=""1937716910""","=""9781937716912""",0,3.93,VeloPress Books,Kindle Edition,359,2017,,,2025/01/26,,,read,,,,1,0
1958785,Do Hard Things: A Teenage Rebellion Against Low Expectations,Alex  Harris,"Harris, Alex","Brett Harris, Chuck Norris","=""1601421125""","=""9781601421128""",0,4.04,Multnomah,Hardcover,242,2008,2008,,2025/01/26,,,read,,,,1,0
26047703,How Bad Do You Want It? Mastering the Psychology of Mind over Muscle,Matt Fitzgerald,"Fitzgerald, Matt",,"=""1937715418""","=""9781937715410""",0,4.10,VeloPress,Paperback,265,2023,2015,,2025/01/26,,,read,,,,1,0
198678736,Co-Intelligence: Living and Working with AI,Ethan Mollick,"Mollick, Ethan",,"=""075356078X""","=""9780753560785""",0,4.08,Virgin Digital,Kindle Edition,243,2024,2024,,2025/01/26,,,read,,,,1,0
26533127,"The Oxygen Advantage: The Simple, Scientifically Proven Breathing Techniques for a Healthier, Slimmer, Faster, and Fitter You",Patrick McKeown,"McKeown, Patrick",,"=""0062349481""","=""9780062349484""",0,4.02,William Morrow,Kindle Edition,360,2015,2015,,2025/01/26,,,read,,,,1,0
10534,The Art of War,Sun Tzu,"Tzu, Sun",Thomas Cleary,"=""""","=""""",0,3.95,Harper Press,Paperback,170,2005,-400,,2025/01/26,,,read,,,,1,0
4069,Man’s Search for Meaning,Viktor E. Frankl,"Frankl, Viktor E.","Isle Lasch, William J. Winslade, Harold S. Kushner","=""080701429X""","=""9780807014295""",0,4.38,Beacon Press,Paperback,165,2006,1946,,2025/01/26,,,read,,,,1,0
62291,"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,"Martin, George R.R.",,"=""055357342X""","=""9780553573428""",0,4.55,Bantam,Mass Market Paperback,1177,2003,2000,,2025/01/26,,,read,,,,1,0
122765395,Elon Musk,Walter Isaacson,"Isaacson, Walter",,"=""1982181281""","=""9781982181284""",0,4.37,Simon & Schuster,Hardcover,688,2023,2023,,2025/01/26,,,read,,,,1,0
83817473,The Song of Significance: A New Manifesto for Teams,Seth Godin,"Godin, Seth",,"=""0593715543""","=""9780593715543""",0,3.85,Portfolio,Hardcover,208,2023,2023,,2025/01/26,,,read,,,,1,0
36076,The Speed of Trust: The One Thing that Changes Everything,Stephen M.R. Covey,"Covey, Stephen M.R.",Rebecca R. Merrill,"=""074329730X""","=""9780743297301""",0,3.97,Simon & Schuster,Hardcover,384,2006,,,2025/01/26,,,read,,,,1,0
125063314,Be Useful: Seven Tools for Life,Arnold Schwarzenegger,"Schwarzenegger, Arnold",,"=""0593655958""","=""9780593655955""",0,4.13,Penguin Press,Hardcover,288,2023,2023,,2025/01/26,,,read,,,,1,0
10572,"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,"Martin, George R.R.",,"=""0553381695""","=""9780553381696""",0,4.42,Bantam,Paperback,1009,2002,1998,,2025/01/26,,,read,,,,1,0
1097758,Imponderables: The Solution to the Mysteries of Everyday Life,David Feldman,"Feldman, David",Kas Schwan,"=""0688059147""","=""9780688059149""",0,3.60,William Morrow,Paperback,262,1987,1986,,2025/01/26,,,read,,,,1,0
36119521,"The Art Of Saying NO: How To Stand Your Ground, Reclaim Your Time And Energy, And Refuse To Be Taken For Granted (Without Feeling Guilty!) (The Art Of Living Well Book 1)",Damon Zahariades,"Zahariades, Damon",,"=""""","=""""",0,3.77,,Kindle Edition,172,2017,2017,,2025/01/26,,,read,,,,1,0
60505565,"Win Every Argument: The Art of Debating, Persuading, and Public Speaking",Mehdi Hasan,"Hasan, Mehdi",,"=""1250853478""","=""9781250853479""",0,4.06,Henry Holt and Co.,Hardcover,336,2023,2023,,2025/01/26,,,read,,,,1,0
61998186,On Pace,Matt Fitzgerald,"Fitzgerald, Matt",,"=""""","=""9798985398014""",0,3.59,8020 Publishing LLC,Kindle Edition,516,2022,,,2025/01/26,,,read,,,,1,0
13496,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,"Martin, George R.R.",,"=""0553588486""","=""9780553588484""",0,4.44,Bantam,Mass Market Paperback,835,2005,1996,,2025/01/26,,,read,,,,1,0
26082916,"Ready Player Two (Ready Player One, #2)",Ernest Cline,"Cline, Ernest",,"=""1524761338""","=""9781524761332""",0,3.43,Ballantine Books,Hardcover,370,2020,2020,,2025/01/26,,,read,,,,1,0
16278318,Armada,Ernest Cline,"Cline, Ernest",,"=""0804137250""","=""9780804137256""",0,3.56,Crown Publishing ,Hardcover,355,2015,2015,,2025/01/26,,,read,,,,1,0
58578769,"Endure: How to Work Hard, Outlast, and Keep Hammering",Cameron R. Hanes,"Hanes, Cameron R.","Joe Rogan, David Goggins","=""1250279291""","=""9781250279293""",0,4.03,St. Martin's Press,Hardcover,336,2022,2022,,2025/01/26,,,read,,,,1,0
43252570,How Not to Diet,Michael Greger,"Greger, Michael",,"=""1250199247""","=""9781250199249""",5,4.43,Flatiron Books,Kindle Edition,608,2019,,,2022/11/27,,,read,,,,1,0
39986520,"Cognitive Behavioral Therapy Made Simple: 10 Strategies for Managing Anxiety, Depression, Anger, Panic, and Worry",Seth J. Gillihan,"Gillihan, Seth J.",,"=""1939754860""","=""9781939754868""",0,4.12,Althea Press,Kindle Edition,231,2018,2018,2023/04/04,2023/01/07,,,read,,,,1,0
9969571,"Ready Player One (Ready Player One, #1)",Ernest Cline,"Cline, Ernest",,"=""030788743X""","=""9780307887436""",5,4.23,Crown Publishers,Hardcover,480,2011,2011,2023/02/28,2023/02/10,,,read,,,,1,0
6342995,The Score Takes Care of Itself: My Philosophy of Leadership,Bill   Walsh,"Walsh, Bill","Steve Jamison, Craig Walsh","=""1591842662""","=""9781591842668""",0,4.22,Portfolio,Hardcover,288,2009,2009,2023/02/10,2022/11/28,,,read,,,,1,0
40745,Mindset: The New Psychology of Success,Carol S. Dweck,"Dweck, Carol S.",,"=""""","=""""",0,4.10,Random House,Hardcover,276,2006,2006,2023/02/10,2022/11/28,,,read,,,,1,0
63079845,Never Finished,David Goggins,"Goggins, David",,"=""154453406X""","=""9781544534060""",0,4.43,Lioncrest Publishing,Kindle Edition,312,2022,2022,2023/01/07,2022/12/15,,,read,,,,1,0
51901147,"The Ballad of Songbirds and Snakes (The Hunger Games, #0)",Suzanne Collins,"Collins, Suzanne",,"=""""","=""""",0,3.97,Scholastic Press,Kindle Edition,541,2020,2020,2022/12/15,2022/11/28,,,read,,,,1,0
7260188,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,"Collins, Suzanne",,"=""0439023513""","=""9780439023511""",0,4.10,Scholastic Press,Hardcover,390,2010,2010,,2022/11/28,,,read,,,,1,0
6148028,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,"Collins, Suzanne",,"=""0439023491""","=""9780439023498""",0,4.34,Scholastic Press,Hardcover,391,2009,2009,,2022/11/28,,,read,,,,1,0
2493973,"The Diamond of Darkhold (Book of Ember, #4)",Jeanne DuPrau,"DuPrau, Jeanne",,"=""0375955712""","=""9780375955716""",0,3.82,Random House,Hardcover,293,2008,2008,,2022/11/28,,,read,,,,1,0
773858,Born Standing Up: A Comic's Life,Steve Martin,"Martin, Steve",,"=""1416553649""","=""9781416553649""",0,3.88,Scribner,Hardcover,207,2007,2007,,2022/11/28,,,read,,,,1,0
43304284,Hunger Games Trilogy 1: Special Edition,Suzanne Collins,"Collins, Suzanne",,"=""1407192086""","=""9781407192086""",0,4.34,Scholastic,Paperback,512,2018,2008,,2022/11/28,,,read,,,,1,0
207034,"The Prophet of Yonwood (Book of Ember, #3)",Jeanne DuPrau,"DuPrau, Jeanne",,"=""0440421241""","=""9780440421245""",0,3.28,Yearling,Paperback,289,2006,2006,,2022/11/28,,,read,,,,1,0
